date,price,days
22-06-24,23.49,0
23-06-24,23.49,1
24-06-24,23.49,2
25-06-24,22.99,3
26-06-24,22.99,4
27-06-24,22.99,5
28-06-24,22.99,6
29-06-24,22.99,7
30-06-24,22.99,8
01-07-24,22.99,9
02-07-24,22.99,10
03-07-24,23.49,11
04-07-24,20.65,12
05-07-24,20.65,13
06-07-24,20.65,14
07-07-24,20.65,15
08-07-24,21.05,16
09-07-24,21.05,17
10-07-24,21.05,18
11-07-24,21.05,19
12-07-24,21.05,20
13-07-24,21.05,21
14-07-24,21.05,22
15-07-24,21.05,23
16-07-24,21.05,24
17-07-24,21.05,25
18-07-24,21.05,26
19-07-24,21.05,27
20-07-24,21.05,28
21-07-24,21.05,29
22-07-24,19.84,30
23-07-24,21.05,31